Year,State,District,Water Level
2021-22,Andaman and Nicobar Islands,Middle Andaman,0 to 2 Pre Monsoon (in mbgl)
2021-22,Andaman and Nicobar Islands,South Andaman,0 to 2 Pre Monsoon (in mbgl)
2021-22,Andaman and Nicobar Islands,Neil Island,2 to 5 Pre Monsoon (in mbgl)
2021-22,Andaman and Nicobar Islands,North Andaman,0 to 2 Pre Monsoon (in mbgl)
2021-22,Andaman and Nicobar Islands,Long Island,2 to 5 Pre Monsoon (in mbgl)
2021-22,Andaman and Nicobar Islands,Havelock Island,0 to 2 Pre Monsoon (in mbgl)
2021-22,Andaman and Nicobar Islands,Ross Island,0 to 2 Pre Monsoon (in mbgl)
2021-22,Andaman and Nicobar Islands,Middle Andaman,0 to 2 Post Monsoon (in mbgl)
2021-22,Andaman and Nicobar Islands,South Andaman,0 to 2 Post Monsoon (in mbgl)
2021-22,Andaman and Nicobar Islands,Neil Island,2 to 5 Post Monsoon (in mbgl)
2021-22,Andaman and Nicobar Islands,North Andaman,0 to 2 Post Monsoon (in mbgl)
2021-22,Andaman and Nicobar Islands,Long Island,0 to 2 Post Monsoon (in mbgl)
2021-22,Andaman and Nicobar Islands,Havelock Island,0 to 2 Post Monsoon (in mbgl)
2021-22,Andaman and Nicobar Islands,Ross Island,0 to 2 Post Monsoon (in mbgl)
2021-22,Andhra Pradesh,Visakhapatnam,5 to 10 Pre Monsoon (in mbgl)
2021-22,Andhra Pradesh,Guntur,2 to 5 Pre Monsoon (in mbgl)
2021-22,Andhra Pradesh,Prakasam,5 to 10 Pre Monsoon (in mbgl)
2021-22,Andhra Pradesh,East Godavari,2 to 5 Pre Monsoon (in mbgl)
2021-22,Andhra Pradesh,Ysr Kadapa,2 to 5 Pre Monsoon (in mbgl)
2021-22,Andhra Pradesh,Krishna,2 to 5 Pre Monsoon (in mbgl)
2021-22,Andhra Pradesh,Kurnool,2 to 5 Pre Monsoon (in mbgl)
2021-22,Andhra Pradesh,Sri Potti Sriramulu Nellore,2 to 5 Pre Monsoon (in mbgl)
2021-22,Andhra Pradesh,Vizianagaram,5 to 10 Pre Monsoon (in mbgl)
2021-22,Andhra Pradesh,Srikakulam,5 to 10 Pre Monsoon (in mbgl)
2021-22,Andhra Pradesh,West Godavari,10 to 20 Pre Monsoon (in mbgl)
2021-22,Andhra Pradesh,Ananthapuramu,10 to 20 Pre Monsoon (in mbgl)
2021-22,Andhra Pradesh,Chittoor,5 to 10 Pre Monsoon (in mbgl)
2021-22,Andhra Pradesh,Visakhapatnam,0 to 2 Post Monsoon (in mbgl)
2021-22,Andhra Pradesh,Guntur,0 to 2 Post Monsoon (in mbgl)
2021-22,Andhra Pradesh,Prakasam,2 to 5 Post Monsoon (in mbgl)
2021-22,Andhra Pradesh,East Godavari,0 to 2 Post Monsoon (in mbgl)
2021-22,Andhra Pradesh,Ysr Kadapa,0 to 2 Post Monsoon (in mbgl)
2021-22,Andhra Pradesh,Krishna,0 to 2 Post Monsoon (in mbgl)
2021-22,Andhra Pradesh,Kurnool,2 to 5 Post Monsoon (in mbgl)
2021-22,Andhra Pradesh,Sri Potti Sriramulu Nellore,0 to 2 Post Monsoon (in mbgl)
2021-22,Andhra Pradesh,Vizianagaram,0 to 2 Post Monsoon (in mbgl)
2021-22,Andhra Pradesh,Srikakulam,0 to 2 Post Monsoon (in mbgl)
2021-22,Andhra Pradesh,West Godavari,0 to 2 Post Monsoon (in mbgl)
2021-22,Andhra Pradesh,Ananthapuramu,0 to 2 Post Monsoon (in mbgl)
2021-22,Andhra Pradesh,Chittoor,2 to 5 Post Monsoon (in mbgl)
2021-22,Arunachal Pradesh,Lohit,2 T0 5 Pre Monsoon (in mbgl)
2021-22,Arunachal Pradesh,Anjaw,2 to 5 Pre Monsoon (in mbgl)
2021-22,Arunachal Pradesh,Longding,5 to 10 Pre Monsoon (in mbgl)
2021-22,Arunachal Pradesh,Changlang,2 to 5 Pre Monsoon (in mbgl)
2021-22,Arunachal Pradesh,Shi Yomi,10 to 20 Pre Monsoon (in mbgl)
2021-22,Arunachal Pradesh,Lower Subansiri,5 to 10 Pre Monsoon (in mbgl)
2021-22,Arunachal Pradesh,Leparada,10 to 20 Pre Monsoon (in mbgl)
2021-22,Arunachal Pradesh,Siang,2 to 5 Pre Monsoon (in mbgl)
2021-22,Arunachal Pradesh,Tirap,5 to 10 Pre Monsoon (in mbgl)
2021-22,Arunachal Pradesh,West Siang,2 to 5 Pre Monsoon (in mbgl)
2021-22,Arunachal Pradesh,Papum Pare,0 to 2 Pre Monsoon (in mbgl)
2021-22,Arunachal Pradesh,Kamle,5 to 10 Pre Monsoon (in mbgl)
2021-22,Arunachal Pradesh,East Kameng,0 to 2 Pre Monsoon (in mbgl)
2021-22,Arunachal Pradesh,East Siang,2 T0 5 Pre Monsoon (in mbgl)
2021-22,Arunachal Pradesh,West Kameng,0 to 2 Pre Monsoon (in mbgl)
2021-22,Arunachal Pradesh,Pakke Kessang,0 to 2 Pre Monsoon (in mbgl)
2021-22,Arunachal Pradesh,Lower Dibang Valley,10 to 20 Pre Monsoon (in mbgl)
2021-22,Arunachal Pradesh,Dibang Valley,2 to 5 Pre Monsoon (in mbgl)
2021-22,Arunachal Pradesh,Upper Siang,10 to 20 Pre Monsoon (in mbgl)
2021-22,Arunachal Pradesh,Tawang,0 to 2 Pre Monsoon (in mbgl)
2021-22,Arunachal Pradesh,Kra Daadi,5 to 10 Pre Monsoon (in mbgl)
2021-22,Arunachal Pradesh,Kurung Kumey,5 to 10 Pre Monsoon (in mbgl)
2021-22,Arunachal Pradesh,Namsai,2 to 5 Pre Monsoon (in mbgl)
2021-22,Arunachal Pradesh,Lower Siang,10 to 20 Pre Monsoon (in mbgl)
2021-22,Arunachal Pradesh,Upper Subansiri,5 to 10 Pre Monsoon (in mbgl)
